Gene ID	Symbol	TaxID
329934	Foxo6	10090
100132074	FOXO6	9606
313558	Foxo6	10116
108655	Foxp1	10090
297480	Foxp1	10116
27086	FOXP1	9606
114142	Foxp2	10090
93986	FOXP2	9606
500037	Foxp2	10116
20371	Foxp3	10090
50943	FOXP3	9606
317382	Foxp3	10116
116113	FOXP4	9606
15220	Foxq1	10090
64826	Foxq1	10116
94234	FOXQ1	9606
283150	FOXR1	9606
382074	Foxr1	10090
139628	FOXR2	9606
14239	Foxs1	10090
2307	FOXS1	9606
14390	Gabpa	10090
2551	GABPA	9606
363735	Gabpa	10116
14460	Gata1	10090
25172	Gata1	10116
2623	GATA1	9606
14461	Gata2	10090
25159	Gata2	10116
2624	GATA2	9606
14462	Gata3	10090
85471	Gata3	10116
2625	GATA3	9606
14463	Gata4	10090
54254	Gata4	10116
2626	GATA4	9606
14464	Gata5	10090
499951	Gata5	10116
140628	GATA5	9606
14465	Gata6	10090
29300	Gata6	10116
2627	GATA6	9606
500005	Gatad1	10116
57798	GATAD1	9606
54815	GATAD2A	9606
229542	Gatad2b	10090
57459	GATAD2B	9606
353256	Gtf2i	10116
231044	Gbx1	10090
14472	Gbx2	10090
2637	GBX2	9606
14531	Gcm1	10090
8521	GCM1	9606
107889	Gcm2	10090
291047	Gcm2	10116
9247	GCM2	9606
14581	Gfi1	10090
24388	Gfi1	10116
2672	GFI1	9606
14582	Gfi1b	10090
8328	GFI1B	9606
14632	Gli1	10090
2735	GLI1	9606
140589	Gli1	10116
14633	Gli2	10090
2736	GLI2	9606
14634	Gli3	10090
140588	Gli3	10116
2737	GLI3	9606
230587	Glis1	10090
148979	GLIS1	9606
83396	Glis2	10090
84662	GLIS2	9606
302946	Glis2	10116
226075	Glis3	10090
169792	GLIS3	9606
112770	GLMP	9606
84656	GLYR1	9606
10691	GMEB1	9606
26205	GMEB2	9606
499497	Mef2c	10116
73274	Gpbp1	10090
65056	GPBP1	9606
76854	Gper1	10090
171104	Gper1	10116
2852	GPER1	9606
303991	Hoxd10	10116
29841	GRHL1	9606
195733	Grhl1	10090
252973	Grhl2	10090
79977	GRHL2	9606
230824	Grhl3	10090
57822	GRHL3	9606
14836	Gsc	10090
145258	GSC	9606
195333	Gsc2	10090
363287	Hdac4	10116
14842	Gsx1	10090
288457	Gsx1	10116
219409	GSX1	9606
14843	Gsx2	10090
170825	GSX2	9606
2959	GTF2B	9606
14886	Gtf2i	10090
2969	GTF2I	9606
57080	Gtf2ird1	10090
9569	GTF2IRD1	9606
66596	Gtf3a	10090
246299	Gtf3a	10116
2971	GTF3A	9606
64412	GZF1	9606
296510	Sp5	10116
15110	Hand1	10090
9421	HAND1	9606
15111	Hand2	10090
64637	Hand2	10116
9464	HAND2	9606
73389	Hbp1	10090
26959	HBP1	9606
9759	HDAC4	9606
15184	Hdac5	10090
10014	HDAC5	9606
3068	HDGF	9606
114499	Hdgf	10116
139324	HDX	9606
234219	Helt	10090
15205	Hes1	10090
3280	HES1	9606
29577	Hes1	10116
54626	HES2	9606
15207	Hes3	10090
390992	HES3	9606
57801	HES4	9606
15208	Hes5	10090
79225	Hes5	10116
388585	HES5	9606
55927	Hes6	10090
55502	HES6	9606
84653	Hes7	10090
84667	HES7	9606
15209	Hesx1	10090
8820	HESX1	9606
15213	Hey1	10090
155437	Hey1	10116
23462	HEY1	9606
155430	Hey2	10116
23493	HEY2	9606
15214	Hey2	10090
56198	Heyl	10090
26508	HEYL	9606
3087	HHEX	9606
15242	Hhex	10090
79237	Hhex	10116
15248	Hic1	10090
3090	HIC1	9606
23119	HIC2	9606
15251	Hif1a	10090
29560	Hif1a	10116
3091	HIF1A	9606
53417	Hif3a	10090
64345	Hif3a	10116
64344	HIF3A	9606
102423	Hinfp	10090
25988	HINFP	9606
110521	Hivep1	10090
3096	HIVEP1	9606
15273	Hivep2	10090
29721	Hivep2	10116
3097	HIVEP2	9606
16656	Hivep3	10090
59269	HIVEP3	9606
217082	Hlf	10090
690286	Hlf	10116
3131	HLF	9606
15284	Hlx	10090
3142	HLX	9606
219150	Hmbox1	10090
79618	HMBOX1	9606
66867	Hmg20a	10090
10363	HMG20A	9606
15353	Hmg20b	10090
3159	HMGA1	9606
15361	Hmga1	10090
15364	Hmga2	10090
117062	Hmga1	10116
8091	HMGA2	9606
84017	Hmga2	10116
9324	HMGN3	9606
22993	HMGXB3	9606
70823	Hmgxb4	10090
15371	Hmx1	10090
3166	HMX1	9606
15373	Hmx3	10090
21405	Hnf1a	10090
6927	HNF1A	9606
21410	Hnf1b	10090
6928	HNF1B	9606
25735	Hnf4a	10116
3172	HNF4A	9606
15378	Hnf4a	10090
30942	Hnf4g	10090
3174	HNF4G	9606
315309	Tfcp2	10116
74318	Hopx	10090
84525	HOPX	9606
15394	Hoxa1	10090
103690132	Hoxa1	10116
3198	HOXA1	9606
15395	Hoxa10	10090
3206	HOXA10	9606
15396	Hoxa11	10090
103692131	Hoxa11	10116
3207	HOXA11	9606
15398	Hoxa13	10090
3209	HOXA13	9606
15399	Hoxa2	10090
103690123	Hoxa2	10116
3199	HOXA2	9606
15400	Hoxa3	10090
3200	HOXA3	9606
15401	Hoxa4	10090
3201	HOXA4	9606
79241	Hoxa5	10116
3202	HOXA5	9606
15413	Hoxb5	10090
15402	Hoxa5	10090
15403	Hoxa6	10090
3203	HOXA6	9606
3204	HOXA7	9606
15415	Hoxb7	10090
15404	Hoxa7	10090
15405	Hoxa9	10090
3205	HOXA9	9606
15407	Hoxb1	10090
3211	HOXB1	9606
15408	Hoxb13	10090
303480	Hoxb13	10116
10481	HOXB13	9606
3212	HOXB2	9606
303488	Hoxb3	10116
3213	HOXB3	9606
15410	Hoxb3	10090
15434	Hoxd3	10090
15412	Hoxb4	10090
3214	HOXB4	9606
3215	HOXB5	9606
15414	Hoxb6	10090
3216	HOXB6	9606
3217	HOXB7	9606
3218	HOXB8	9606
15426	Hoxc8	10090
15416	Hoxb8	10090
15437	Hoxd8	10090
15417	Hoxb9	10090
3219	HOXB9	9606
209448	Hoxc10	10090
315338	Hoxc10	10116
3226	HOXC10	9606
109663	Hoxc11	10090
3227	HOXC11	9606
15422	Hoxc13	10090
3229	HOXC13	9606
15423	Hoxc4	10090
3221	HOXC4	9606
15424	Hoxc5	10090
3222	HOXC5	9606
15425	Hoxc6	10090
3223	HOXC6	9606
3224	HOXC8	9606
15427	Hoxc9	10090
3225	HOXC9	9606
3231	HOXD1	9606
15430	Hoxd10	10090
3236	HOXD10	9606
15431	Hoxd11	10090
3237	HOXD11	9606
15432	Hoxd12	10090
3238	HOXD12	9606
15433	Hoxd13	10090
288154	Hoxd13	10116
3239	HOXD13	9606
3232	HOXD3	9606
15436	Hoxd4	10090
3233	HOXD4	9606
3234	HOXD8	9606
15438	Hoxd9	10090
688999	Hoxd9	10116
3235	HOXD9	9606
25094	Mitf	10116
15499	Hsf1	10090
3297	HSF1	9606
79245	Hsf1	10116
15500	Hsf2	10090
3298	HSF2	9606
26386	Hsf4	10090
291960	Hsf4	10116
3299	HSF4	9606
100506164	HSFX1	9606
54299	Ncor1	10116
15901	Id1	10090
25261	Id1	10116
3397	ID1	9606
15902	Id2	10090
25587	Id2	10116
3398	ID2	9606
15903	Id3	10090
3399	ID3	9606
25585	Id3	10116
15904	Id4	10090
3400	ID4	9606
22778	Ikzf1	10090
10320	IKZF1	9606
22779	Ikzf2	10090
22807	IKZF2	9606
22780	Ikzf3	10090
22806	IKZF3	9606
22781	Ikzf4	10090
53626	Insm1	10090
3642	INSM1	9606
56856	Insm2	10090
291439	Mbd1	10116
16362	Irf1	10090
24508	Irf1	10116
3659	IRF1	9606
16363	Irf2	10090
3660	IRF2	9606
290749	Irf2	10116
54131	Irf3	10090
292892	Irf3	10116
3661	IRF3	9606
16364	Irf4	10090
291100	Irf4	10116
3662	IRF4	9606
27056	Irf5	10090
3663	IRF5	9606
54139	Irf6	10090
3664	IRF6	9606
364081	Irf6	10116
54123	Irf7	10090
3665	IRF7	9606
293624	Irf7	10116
15900	Irf8	10090
292060	Irf8	10116
3394	IRF8	9606
16391	Irf9	10090
305896	Irf9	10116
10379	IRF9	9606
16371	Irx1	10090
79192	IRX1	9606
306659	Irx1	10116
16372	Irx2	10090
153572	IRX2	9606
16373	Irx3	10090
79191	IRX3	9606
307721	Irx3	10116
50916	Irx4	10090
50805	IRX4	9606
306655	Irx4	10116
54352	Irx5	10090
10265	IRX5	9606
498918	Irx5	10116
64379	Irx6	10090
3670	ISL1	9606
104360	Isl2	10090
16392	Isl1	10090
57233	Isl2	10116
64444	Isl1	10116
64843	ISL2	9606
682968	Isx	10116
91464	ISX	9606
71597	Isx	10090
16468	Jarid2	10090
3720	JARID2	9606
221895	JAZF1	9606
54278	Nr4a2	10116
81703	Jdp2	10090
116674	Jdp2	10116
122953	JDP2	9606
296345	Jph2	10116
57158	JPH2	9606
8629	JRK	9606
16476	Jun	10090
24516	Jun	10116
3725	JUN	9606
16477	Junb	10090
24517	Junb	10116
3726	JUNB	9606
16478	Jund	10090
24518	Jund	10116
3727	JUND	9606
81601	Kat5	10090
192218	Kat5	10116
10524	KAT5	9606
7994	KAT6A	9606
54169	Kat6b	10090
244349	Kat6a	10090
306571	Kat6a	10116
23522	KAT6B	9606
217127	Kat7	10090
303470	Kat7	10116
11143	KAT7	9606
67773	Kat8	10090
84148	KAT8	9606
56888	KCMF1	9606
56461	Kcnip3	10090
65199	Kcnip3	10116
30818	KCNIP3	9606
366078	Sp9	10116
361700	Kdm2a	10116
22992	KDM2A	9606
225876	Kdm2a	10090
84678	KDM2B	9606
296344	Mybl2	10116
5927	KDM5A	9606
75605	Kdm5b	10090
214899	Kdm5a	10090
20591	Kdm5c	10090
20592	Kdm5d	10090
312678	Kdm5a	10116
304809	Kdm5b	10116
10765	KDM5B	9606
8242	KDM5C	9606
8284	KDM5D	9606
22944	KIN	9606
10661	KLF1	9606
21847	Klf10	10090
81813	Klf10	10116
7071	KLF10	9606
194655	Klf11	10090
8462	KLF11	9606
313994	Klf11	10116
16597	Klf12	10090
11278	KLF12	9606
75753	Klf17	10090
50794	Klf13	10090
51621	KLF13	9606
136259	KLF14	9606
619665	Klf14	10090
66277	Klf15	10090
85497	Klf15	10116
28999	KLF15	9606
118445	Klf16	10090
83855	KLF16	9606
128209	KLF17	9606
16596	Klf1	10090
304666	Klf1	10116
16598	Klf2	10090
306330	Klf2	10116
10365	KLF2	9606
16599	Klf3	10090
51274	KLF3	9606
16600	Klf4	10090
9314	KLF4	9606
114505	Klf4	10116
688	KLF5	9606
23849	Klf6	10090
58954	Klf6	10116
1316	KLF6	9606
93691	Klf7	10090
363243	Klf7	10116
8609	KLF7	9606
245671	Klf8	10090
302582	Klf8	10116
11279	KLF8	9606
16601	Klf9	10090
117560	Klf9	10116
687	KLF9	9606
313566	Rlf	10116
315606	Kmt2a	10116
4297	KMT2A	9606
214162	Kmt2a	10090
75410	Kmt2b	10090
9757	KMT2B	9606
381022	Kmt2d	10090
8085	KMT2D	9606
100362634	Kmt2d	10116
65161	Litaf	10116
25701	Mxi1	10116
26013	L3MBTL1	9606
84456	L3MBTL3	9606
91133	L3MBTL4	9606
16814	Lbx1	10090
10660	LBX1	9606
85474	LBX2	9606
84458	LCOR	9606
117274	Nr0b2	10116
16842	Lef1	10090
161452	Lef1	10116
51176	LEF1	9606
342900	LEUTX	9606
171046	Tcf3	10116
3975	LHX1	9606
16869	Lhx1	10090
16873	Lhx5	10090
124451	Lhx5	10116
16870	Lhx2	10090
296706	Lhx2	10116
9355	LHX2	9606
8022	LHX3	9606
16871	Lhx3	10090
16872	Lhx4	10090
170671	Lhx3	10116
360858	Lhx4	10116
89884	LHX4	9606
16874	Lhx6	10090
311901	Lhx6	10116
26468	LHX6	9606
16875	Lhx8	10090
365963	Lhx8	10116
431707	LHX8	9606
16876	Lhx9	10090
56956	LHX9	9606
289048	Lhx9	10116
79727	LIN28A	9606
389421	LIN28B	9606
132660	LIN54	9606
56722	Litaf	10090
9516	LITAF	9606
110648	Lmx1a	10090
4009	LMX1A	9606
16917	Lmx1b	10090
114501	Lmx1b	10116
4010	LMX1B	9606
114634	Six1	10116
16978	Lrrfip1	10090
367314	Lrrfip1	10116
9208	LRRFIP1	9606
4057	LTF	9606
17089	Lyar	10090
55646	LYAR	9606
17095	Lyl1	10090
4066	LYL1	9606
17681	Msc	10090
312897	Msc	10116
17132	Maf	10090
4094	MAF	9606
378435	Mafa	10090
389692	MAFA	9606
366949	Mafa	10116
16658	Mafb	10090
54264	Mafb	10116
9935	MAFB	9606
17133	Maff	10090
23764	MAFF	9606
4097	MAFG	9606
17135	Mafk	10090
17134	Mafg	10090
64188	Mafg	10116
246760	Mafk	10116
7975	MAFK	9606
25631	Smad3	10116
170820	Prdm4	10116
4149	MAX	9606
17188	Maz	10090
691842	Maz	10116
4150	MAZ	9606
17190	Mbd1	10090
4152	MBD1	9606
8932	MBD2	9606
53615	MBD3	9606
8930	MBD4	9606
114785	MBD6	9606
10150	MBNL2	9606
2122	MECOM	9606
70673	Prdm16	10090
14013	Mecom	10090
4204	MECP2	9606
17258	Mef2a	10090
309957	Mef2a	10116
