#: :filename=/home/mvazque2/.rbbt/tmp/tmp-337667186.1761_TFs#:type=:double
#Associated.Gene.Name	TF_type
ZKSCAN4	dbTF
ZKSCAN5	dbTF
ZKSCAN7	dbTF
ZKSCAN8	dbTF
ZNF10	dbTF
ZNF100	dbTF
ZNF101	dbTF
ZNF107	dbTF
ZNF112	dbTF
ZNF114	dbTF
ZNF117	dbTF
ZNF12	dbTF
ZNF121	dbTF
ZNF124	dbTF
ZNF131	dbTF
ZNF132	dbTF
ZNF133	dbTF
ZNF134	dbTF
ZNF135	dbTF
ZNF136	dbTF
ZNF137P	dbTF
ZNF138	dbTF
ZNF14	dbTF
ZNF140	dbTF
ZNF141	dbTF
ZNF142	dbTF
ZNF143	dbTF
ZNF146	dbTF
ZNF148	dbTF
ZNF154	dbTF
ZNF155	dbTF
ZNF157	dbTF
ZNF16	dbTF
ZNF160	dbTF
ZNF165	dbTF
ZNF169	dbTF
ZNF17	dbTF
ZNF174	dbTF
ZNF175	dbTF
ZNF177	dbTF
ZNF18	dbTF
ZNF180	dbTF
ZNF181	dbTF
ZNF182	dbTF
ZNF184	dbTF
ZNF189	dbTF
ZNF19	dbTF
ZNF195	dbTF
ZNF197	dbTF
ZNF2	dbTF
ZNF20	dbTF
ZNF200	dbTF
ZNF202	dbTF
ZNF205	dbTF
ZNF208	dbTF
ZNF211	dbTF
ZNF212	dbTF
ZNF213	dbTF
ZNF214	dbTF
ZNF215	dbTF
ZNF217	dbTF
ZNF219	dbTF
ZNF22	dbTF
ZNF221	dbTF
ZNF222	dbTF
ZNF223	dbTF
ZNF224	dbTF
ZNF225	dbTF
ZNF226	dbTF
ZNF227	dbTF
ZNF229	dbTF
ZNF23	dbTF
ZNF230	dbTF
ZNF232	dbTF
ZNF233	dbTF
ZNF234	dbTF
ZNF235	dbTF
ZNF236	dbTF
ZNF239	dbTF
ZNF24	dbTF
ZNF248	dbTF
ZNF25	dbTF
ZNF250	dbTF
ZNF251	dbTF
ZNF253	dbTF
ZNF254	dbTF
ZNF256	dbTF
ZNF257	dbTF
ZNF26	dbTF
ZNF260	dbTF
ZNF263	dbTF
ZNF264	dbTF
ZNF266	dbTF
ZNF267	dbTF
ZNF268	dbTF
Znf271	dbTF
ZNF273	dbTF
ZNF274	dbTF
ZNF275	dbTF
ZNF276	dbTF
ZNF277	dbTF
ZNF28	dbTF
ZNF280A	dbTF
ZNF280B	dbTF
ZNF280C	dbTF
ZNF280D	dbTF
ZNF281	dbTF
ZNF282	dbTF
ZNF283	dbTF
ZNF284	dbTF
ZNF285	dbTF
ZNF286A	dbTF
ZNF286B	dbTF
ZNF287	dbTF
ZNF292	dbTF
ZNF296	dbTF
ZNF3	dbTF
ZNF30	dbTF
ZNF300	dbTF
ZNF302	dbTF
ZNF304	dbTF
ZNF311	dbTF
ZNF316	dbTF
ZNF317	dbTF
ZNF319	dbTF
ZNF32	dbTF
ZNF320	dbTF
ZNF322	dbTF
ZNF324	dbTF
ZNF324B	dbTF
ZNF329	dbTF
ZNF331	dbTF
ZNF333	dbTF
ZNF334	dbTF
ZNF335	dbTF
ZNF337	dbTF
ZNF33A	dbTF
ZNF33B	dbTF
ZNF34	dbTF
ZNF341	dbTF
ZNF343	dbTF
ZNF345	dbTF
ZNF347	dbTF
ZNF35	dbTF
ZNF350	dbTF
ZNF354A	dbTF
ZNF354B	dbTF
ZNF354C	dbTF
ZNF355P	dbTF
ZNF358	dbTF
ZNF362	dbTF
ZNF366	dbTF
ZNF367	dbTF
ZNF37A	dbTF
ZNF382	dbTF
ZNF383	dbTF
ZNF384	dbTF
ZNF391	dbTF
ZNF394	dbTF
ZNF395	dbTF
ZNF396	dbTF
ZNF397	dbTF
ZNF398	dbTF
ZNF404	dbTF
ZNF407	dbTF
ZNF408	dbTF
ZNF41	dbTF
ZNF410	dbTF
ZNF414	dbTF
ZNF415	dbTF
ZNF416	dbTF
ZNF417	dbTF
ZNF418	dbTF
ZNF419	dbTF
ZNF420	dbTF
ZNF423	dbTF
ZNF425	dbTF
ZNF426	dbTF
ZNF429	dbTF
ZNF43	dbTF
ZNF430	dbTF
ZNF431	dbTF
ZNF432	dbTF
ZNF433	dbTF
ZNF436	dbTF
ZNF438	dbTF
ZNF439	dbTF
ZNF44	dbTF
ZNF440	dbTF
ZNF441	dbTF
ZNF442	dbTF
ZNF443	dbTF
ZNF444	dbTF
ZNF445	dbTF
ZNF446	dbTF
ZNF449	dbTF
ZNF45	dbTF
ZNF451	dbTF
ZNF454	dbTF
ZNF460	dbTF
ZNF461	dbTF
ZNF462	dbTF
ZNF467	dbTF
ZNF468	dbTF
ZNF469	dbTF
ZNF470	dbTF
ZNF471	dbTF
ZNF473	dbTF
ZNF479	dbTF
ZNF48	dbTF
ZNF480	dbTF
ZNF483	dbTF
ZNF484	dbTF
ZNF485	dbTF
ZNF486	dbTF
ZNF487	dbTF
ZNF490	dbTF
ZNF491	dbTF
ZNF492	dbTF
